spreadsheetId,accountId,month,folder_id,currentPeriodTotalCost
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
1A-uhQ-nrOUtiRuFJZrf4XN3cC21AB4Av8R8Apcp0Pdw,0852 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1230.45
